	sales_name	gstin	26as_name	tan
1816	nath motors	27AAIFN5024B1ZN	nath motors	MUMN18914A
1817	national engineering industries ltd	06AAACN9969L1ZQ	national engineering industries ltd	JPRN00007A
1818	national engineering industries ltd	08AAACN9969L1ZM	national engineering industries ltd	JPRN00007A
1819	national engineering industries ltd	19AAACN9969L1ZJ	national engineering industries ltd	JPRN00007A
1820	national engineering industries ltd	24AAACN9969L1ZS	national engineering industries ltd	JPRN00007A
1821	national engineering industries ltd	27AAACN9969L1ZM	national engineering industries ltd	JPRN00007A
1822	national plastics technologies limited	02AACCA2990E1Z5	national plastic technologies limited	CHEA09012D
1823	national tool iron	08AACFN3878R1ZE	national tools iron	JDHN00862B
1824	national tools iron	08AACFN3878R1ZE	national tools iron	JDHN00862B
1825	nature magic world	05AAHFN8215D2ZI	nature magic world	DELN10580D
1826	naturence research labs pvt ltd	05AAACN2846C1ZX	naturence research labs p0 ltd	DELN02698D
1827	naturesmith foods llp	09AANFN7889F1ZF	naturesmith foods llp	DELN16429A
1828	navayuga engineering company limited	29AAACN7396R1ZD	navayuga engineering company limited	VPNN00026F
1829	navin fluorine international limited	24AABCP0464B1Z2	navin fluorine international limited	BPLP01985E
1830	ncubate india service pvt ltd	10AADCN6776C1ZQ	ncubate india services pvt ltd	DELN11496C
1831	ncubate india service pvt ltd	20AADCN6776C1ZP	ncubate india services pvt ltd	DELN11496C
1832	ncubate india service pvt ltd	37AADCN6776C1ZA	ncubate india services pvt ltd	DELN11496C
1833	ndr auto components limited	06AAGCN4573Q1ZS	ndr auto components limited	DELN19864F
1834	needle industries india pvt ltd	33AAACN2044E1Z4	needle industries india pvt ltd	CHEN00051C
1835	needle industries indiapvt ltd	33AAACN2044E1Z4	needle industries india pvt ltd	CHEN00051C
1836	neelay metal industries	27AAFFN1683B1ZH	neelay metal industries	NSKN02378F
1837	neelikon food dyes and chemicals ltd	27AAACN3451B1ZY	neelikon food dyes and chemicals ltd ms	MUMN04499F
1838	neel metal products limited	06AABCN6304Q1Z8	neel metal products limited	AHMN06981C
1839	neeru menthol private limited	09AAECN1456E1ZL	neeru menthol private limited	LKNN06264G
1840	neha herbals private limited	07AACCN6466E1ZF	neha herbals private limited	DELN09616F
1841	nelcast limited	37AABCN0010F1Z7	nelcast limited	CHEN04907A
1842	nelson global products india private limited	09AAACN9230G1ZH	nelson global products india private limited	PNEN04155E
1843	neoflex industries llp	06AAIFN2108C1ZU	neoflex industries llp	DELN12041B
1844	neomediispecs private limited	05AAFCN7159K1Z3	neomediispecs private limited	CHEN09918G
1845	neomediispecs private limited	33AAFCN7159K1Z4	neomediispecs private limited	CHEN09918G
1846	neo pack plast india pvt ltd	24AAACN8096N1ZW	neo pack plast india pvt ltd	SRTN01076F
1847	neospark drugs chemicals pvt ltd	36AAACN7333E1ZO	neospark drugs chemicals pvt ltd	HYDN00412G
1848	neosym industry limited	27AAACT3782D1ZE	neosym industry limited	PNET05959C
1849	neptune marketing	24AAEFN8712E1ZI	neptune marketing	AHMN02917F
1850	nerofix private limited	05AAGCN6144B1ZU	nerofix private limited	MUMN27381E
1851	nesco limited	24AAACN1222E1Z9	nesco limited	MUMN11650C
1852	nestor pharmaceuticals limited	30AAACN1547Q1ZF	nestor pharmaceuticals limited	DELN05870E
1853	neumex enterprises	36AAPFN3536R1ZF	neumex enterprises	HYDN09045B
1854	new auto tech india private limited	09AAGCN0124K1ZJ	new auto tech india private limited	MRTN03500A
1855	new bharat chatai bhandar	07AAFFN2668C1ZE	new bharat chatai bhandar	DELN04221A
1856	new bharat chataj bhandar	07AAFFN2668C1ZE	new bharat chatai bhandar	DELN04221A
1857	new bharath chatai bhandar	07AAFFN2668C1ZE	new bharat chatai bhandar	DELN04221A
1858	new engineering works	20AABFN7224L1ZH	new engineering works	RCHN00184C
1859	new krishna metal arts	27AACFN2107K1ZG	new krishna metal arts	MUMN04009F
1860	new pack plastics pvt ltd	09AAACN0866A1ZT	newpack plastics pvt ltd	MRTN00323B
1861	new randhir press tools	06ABAPR3247F1ZV	new randhir press tools	RTKN01777G
1862	new star industries	03AABFN1450C1Z4	new star industries	JLDN00621F
1863	newsun plastic industries	06AADFN1321Q1Z9	new sun plastic industries	RTKN01219B
1864	new swan autocomp pvt ltd	03AADCN7170L1ZC	new swan autocomp pvt ltd	JLDN01015A
1865	new swan enterprises	03AAJFS9528A1ZC	new swan enterprises	JLDN02355D
1866	new swan enterprises	03AALFN7299M1ZI	new swan enterprises	JLDN02355D
1867	new swan enterprises	29AALFN7299M1Z4	new swan enterprises	JLDN02355D
1868	nexo metal industries	27AAPFN1724P1ZO	nexo metal industries	MUMN26548E
1869	next care inc	02AACFF0536C1ZC	next care inc	PTLN11469D
1870	nexteer automotive india private limited	33AADCR9139D1ZH	nexteer automotive india private limited	BLRR06730D
1871	next wave india	02AAFFN3768B1ZN	next wave india	DELN07358B
1872	nexus power systems	07AALFN7271R2ZB	nexus power systems	DELN14442B
1873	nhk spring india ltd	06AAACN3501G1Z1	nhk spring india ltd	RTKN01168G
1874	nhk spring india ltd	37AAACN3501G1ZW	nhk spring india ltd	RTKN01168G
1875	nichem solution	27AAEFV4067C1Z8	nichem solutions	PNEM07487E
1876	nichem solutions	27AAEFV4067C1Z8	nichem solutions	PNEM07487E
1877	nidec industrial automation india private limited	09AABCT2662D1ZI	nidec industrial automation india private limited	MRTE01346C
1878	nimbarka industries private limited	03AAFCN7263E1ZN	nimbarka industries private limited	RTKN04843G
1879	nimbasia stabilizers llp	27AANFN2672A1ZC	nimbasia stabilizers llp	MUMN23684D
